,registrationDate,propertyDescription,leaseDateTerm,lesseeTitle,NOTE 1,NOTE 2,NOTE 3,NOTE 4
1523,26.09.2008 189 years from 24.6.1977,Seventh Floor Flat 105  ,26.08.2008  ,NGL899904  ,"NOTE: The lease was made under the provisions of section 56 or 93(4) of the Leasehold Reform, Housing and Urban Development Act 1993.",,,
1524,03.10.2008 189 years from 24.6.1977,Sixth Floor Flat 122  ,15.09.2008  ,NGL900034  ,"NOTE: The lease was made under the provisions of section 56 or 93(4) of the Leasehold Reform, Housing and Urban Development Act 1993.",,,
1525,03.04.2009 189 years from 24.6.1977,Second Floor Flat 177  ,04.03.2009  ,NGL903529  ,"NOTE: The lease was made under the provisions of section 56 or 93(4) of the Leasehold Reform, Housing and Urban Development Act 1993.",,,
1526,04.06.2009 189 years from 24.6.1977,Second Floor Flat 174  ,12.05.2009  ,NGL904594  ,"NOTE: The lease was made under the provisions of section 56 or 93(4) of the Leasehold Reform, Housing and Urban Development Act 1993.",,,
1527,04.06.2009 189 years from 24.6.1977,Ninth Floor Flat 84  ,12.05.2009  ,NGL904597  ,"NOTE: The lease was made under the provisions of section 56 or 93(4) of the Leasehold Reform, Housing and Urban Development Act 1993.",,,
1528,04.06.2009 189 years from 24.6.1977,Ninth Floor Flat 87  ,12.05.2009  ,NGL904601  ,"NOTE: The lease was made under the provisions of section 56 or 93(4) of the Leasehold Reform, Housing and Urban Development Act 1993.",,,
1529,04.06.2009 189 years from 24.6.1977,First Floor Flat 193  ,12.05.2009  ,NGL904604  ,"NOTE: The lease was made under the provisions of section 56 or 93(4) of the Leasehold Reform, Housing and Urban Development Act 1993.",,,
1530,04.06.2009 189 years from 24.6.1977,Fifth Floor Flat 129  ,12.05.2009  ,NGL904610  ,"NOTE: The lease was made under the provisions of section 56 or 93(4) of the Leasehold Reform, Housing and Urban Development Act 1993.",,,
1531,04.06.2009 189 years from 24.6.1977,First Floor Flat 191  ,12.05.2009  ,NGL904612  ,"NOTE: The lease was made under the provisions of section 56 or 93(4) of the Leasehold Reform, Housing and Urban Development Act 1993.",,,
1532,04.06.2009 189 years from 24.6.1977,Eighth Floor Flat 92  ,12.05.2009  ,NGL904616  ,"NOTE: The lease was made under the provisions of section 56 or 93(4) of the Leasehold Reform, Housing and Urban Development Act 1993.",,,
1533,04.06.2009 189 years from 24.6.1977,Fifth Floor Flat 125  ,12.05.2009  ,NGL904618  ,"NOTE: The lease was made under the provisions of section 56 or 93(4) of the Leasehold Reform, Housing and Urban Development Act 1993.",,,
1534,05.06.2009 189 years from 24.6.1977,Sixth Floor Flat 112  ,12.05.2009  ,NGL904630  ,"NOTE: The lease was made under the provisions of section 56 or 93(4) of the Leasehold Reform, Housing and Urban Development Act 1993.",,,
1535,16.06.2009 189 years from 24.6.1977,Second Floor Flat 170  ,04.06.2009  ,NGL904817  ,"NOTE: The lease was made under the provisions of section 56 or 93 (4) of the Leasehold Reform, Housing and Urban Development Act 1993.",,,
1536,17.06.2009 189 years from 24.6.1977,Sixth Floor Flat 115  ,09.06.2009  ,NGL904848  ,"NOTE: The lease was made under the provisions of section 56 or 93(4) of the Leasehold Reform, Housing and Urban Development Act 1993.",,,
1537,14.09.2010 189 years from 24.6.1977,Fifth Floor Flat 137  ,27.08.2010  ,NGL913085  ,"NOTE: The lease was made under the provisions of section 56 or 93(4) of the Leasehold Reform, Housing and Urban Development Act 1993.",,,
1538,26.08.2011 189 years from 24.6.1977,Seventh floor flat 97  ,25.07.2011  ,NGL920630  ,"NOTE: The lease was made under the provisions of section 56 or 93(4) of the Leasehold Reform, Housing and Urban Development Act 1993.",,,
1539,23.02.2012 189 years from 24.6.1977,Eighth Floor Flat 90  ,17.02.2012  ,NGL924301  ,"NOTE: The lease was made under the provisions of section 56 or 93(4) of the Leasehold Reform, Housing and Urban Development Act 1993.",,,
1540,12.07.2012 125 years from 20/9/2002,First Floor Flat 182  ,04.07.2012  ,NGL927483  ,,,,
1541,21.09.2012 189 years from 24.6.1977,Sixth Floor Flat 110  ,29.08.2012  ,NGL929158  ,"NOTE: The lease was made under the provisions of section 56 or 93(4) of the Leasehold Reform, Housing and Urban Development Act 1993.",,,
1542,29.10.2012 189 years from 24/06/1977,Eighth Floor Flat 93  ,04.10.2012  ,NGL929887  ,"NOTE: The lease was made under the provisions of section 56 or 93(4) of the Leasehold Reform, Housing and Urban Development Act 1993.",,,
1543,12.12.2012 189 years from 24.6.1977,Third Floor Flat 154  ,04.12.2012  ,NGL930895  ,"NOTE: The lease was made under the provisions of section 56 or 93(4) of the Leasehold Reform, Housing and Urban Development Act 1993.",,,
1544,30.01.2013 189 years from 24.6.1977,Third Floor FLat 156  ,24.01.2013  ,NGL931863  ,"NOTE: The lease was made under the provisions of section 56 or 93(4) of the Leasehold Reform, Housing and Urban Development Act 1993.",,,
1545,17.05.2013 189 years from 24.6.1977,Seventh Floor Flat 102  ,26.04.2013  ,NGL934381  ,"NOTE: The lease was made under the provisions of section 56 or 93(4) of the Leasehold Reform, Housing and Urban Development Act 1993.",,,
1546,03.06.2013 189 years from 24.6.1977,Ground Floor Flat 198  ,14.05.2013  ,NGL934703  ,"NOTE: The lease was made under the provisions of section 56 or 93(4) of the Leasehold Reform, Housing and Urban Development Act 1993.",,,
1547,18.10.2013 189 years from 24.6.1977,Ground Floor Flat 205  ,12.09.2013  ,NGL937953  ,"NOTE: The lease was made under the provisions of section 56 or 93(4) of the Leasehold Reform, Housing and Urban Development Act 1993.",,,
1548,30.12.2013 189 years from 24.6.1977,Seventh Floor Flat 99  ,20.12.2013  ,NGL939502  ,"NOTE: The lease was made under the provisions of section 56 or 93(4) of the Leasehold Reform, Housing and Urban Development Act 1993.",,,
1549,22.04.2014 189 years from 24.6.1977,Sixth Floor Flat 111  ,10.04.2014  ,NGL941887  ,"NOTE: The lease was made under the provisions of section 56 or 93(4) of the Leasehold Reform, Housing and Urban Development Act 1993.",,,
1550,08.05.2014 189 years from 24.06.1977,Second Floor Flat 175  ,01.05.2014  ,NGL942294  ,"NOTE: The lease was made under the provisions of section 56 or 93(4) of the Leasehold Reform, Housing and Urban Development Act 1993.",,,
1551,22.08.2014 189 years from 24.6.1977,Ground Floor Flat 197  ,12.08.2014  ,NGL944951  ,"NOTE: The lease was made under the provisions of section 56 or 93(4) of the Leasehold Reform, Housing and Urban Development Act 1993",,,
1552,29.08.2014 189 years from 24.6.1977,Ground  Floor Flat 185  ,14.08.2014  ,NGL945044  ,"NOTE: The lease was made under the provisions of section 56 or 93(4) of  the Leasehold Reform, Housing and Urban Development Act 1993.",,,
1553,20.10.2014 (Third Floor) 24.6.1977,Flat 160 Grove Hall Court 189 years from ,15.10.2014  ,NGL946351  ,"NOTE: The lease was made under the provisions of section 56 or 93(4) of the Leasehold Reform, Housing and Urban Development Act 1993.",,,
1554,14.11.2014 (Fifth Floor) 24.6.1977,Flat 126 Grove Hall Court 189 years from ,14.10.2014  ,NGL947105  ,"NOTE: The lease was made under the provisions of section 56 or 93(4) of the Leasehold Reform, Housing and Urban Development Act 1993.",,,
1555,14.01.2015 (Ground Floor Fl 24.6.1977,Flat 199 Grove Hall Court at)           189 years from ,12.01.2015  ,NGL948296  ,"NOTE: The lease was made under the provisions of section 56 or 93(4) of the Leasehold Reform, Housing and Urban development Act 1993.",,,
1556,02.04.2015 (Fifth Floor) 29.9.202,Flat 124 Grove Hall Court 125 years from ,20.03.2015  ,NGL950206  ,,,,
1557,23.04.2015 (First Floor) 24.6.1977,Flat 183 Grove Hall Court 189 years from ,13.04.2015  ,NGL950630  ,"NOTE: The lease was made under the provisions of section 56 or 93(4) of the Leasehold Reform, Housing and Urban Development Act 1993.",,,
1558,01.05.2015 (Fourth Floor) 24.6.1977,Flat 146 Grove Hall Court 189 years from ,23.04.2015  ,NGL950869  ,"NOTE: The lease was made under the provisions of section 56 or 93(4) of the Leasehold Reform, Housing and Urban Development Act 1993",,,
1559,24.09.2015 (Third Floor) 24.6.1977,Flat 155 Grove Hall Court 189 years from ,06.05.2015  ,NGL954253  ,"NOTE: The lease was made under the provisions of section 56 or 93(4) of the Leasehold Reform, Housing and Urban Development Act 1993.",,,
1560,03.12.2015 (First Floor) 24.6.1977,Flat 189 Grove Hall Court 189 years from ,24.11.2015  ,NGL955950  ,"NOTE: The lease was made under the provisions of section 56 or 93(4) of the Leasehold Reform, Housing and Urban Development Act 1993",,,
1561,05.02.2016 (Seventh Floor) 24.6.1977,Flat 108 Grove Hall Court 189 years from ,23.12.2015  ,NGL957497  ,"NOTE: The lease was made under the provisions of section 56 or 93(4) of the Leasehold Reform, Housing and Urban Development Act 1993",,,
1562,29.03.2016 (Sixth Floor) 24.6.1977,Flat 116 Grove Hall Court 189 years from ,09.03.2016  ,NGL958690  ,"NOTE: The lease was made under the provisions of section 56 or 93(4) of the Leasehold Reform, Housing and Urban Development Act 1993.",,,
1563,11.08.2016 (Fifth Floor) 24.6.1977,Flat 130 Grove Hall Court 189 years from ,13.07.2016  ,NGL962438  ,"NOTE: The lease was made under the provisions of section 56 or 93(4) of the Leasehold Reform, Housing and Urban Development Act 1993.",,,
1564,11.08.2016 (Eighth Floor) 24.6.1977,Flat 95 Grove Hall Court 189 years from ,13.07.2016  ,NGL962439  ,"NOTE: The lease was made under the provisions of section 56 or 93(4) of the Leasehold Reform, Housing and Urban Development Act 1993.",,,
1565,17.08.2016 (Sixth Floor) 24.6.1977,Flat 113 Grove Hall Court 189 years from ,13.07.2016  ,NGL962586  ,"NOTE: The lease was made under the provisions of section 56 or 93(4) of the Leasehold Reform, Housing and Urban Development Act 1993.",,,
1566,17.08.2016 Floor) 24.6.1977,127 Grove Hall Court (Fifth 189 years from ,13.07.2016  ,NGL962588  ,"NOTE: The lease was made under the provisions of section 56 or 93(4) of the Leasehold Reform, Housing and Urban Development Act 1993.",,,
1567,17.08.2016 (Fourth Floor) 24.6.1977,141 Grove Hall Court 189 years from ,13.07.2016  ,NGL962591  ,"NOTE: The lease was made under the provisions of section 56 or 93(4) of the Leasehold Reform, Housing and Urban Development Act 1993.",,,
1568,13.12.2016 (Seventh Floor) 24.6.1977,100 Grove Hall Court 189 years from ,08.12.2016  ,NGL965522  ,"NOTE 1: The lease was made under the provisions of section 56 or 93(4) of the Leasehold Reform, Housing and Urban Development Act 1993.",NOTE 2: See entry in the Charges Register relating to a Deed of Variation dated 8 June 2017.,,
1569,06.06.2017 (First floor) 24.06.1977,Flat 192 Grove Hall Court 189 years from ,25.05.2017  ,NGL970426  ,"NOTE: The lease was made under the provisions of section 56 or 93(4) of the Leasehold Reform, Housing and Urban Development Act 1993.",,,
1570,03.07.2017 189 years from 24.06.1977,First Floor Flat 187  ,15.06.2017  ,NGL551012  ,"NOTE: The lease was made under the provisions of section 56 or 93(4) of the Leasehold Reform, housing and Urban Development Act 1993.",,,
1571,06.07.2017 189 years from 24.6.1977,Fifth Floor Flat 134  ,03.07.2017  ,NGL971047  ,,,,
1572,17.08.2017 (Fifth Floor) 24.6.1977,Flat 128 Grove Hall Court 189 years from ,09.08.2017  ,NGL972165  ,"NOTE: The lease was made under the provisions of section 56 or 93(4) of the Leasehold Reform, Housing and Urban Development Act 1993.",,,
1573,27.03.2018 (seventh floor) 24.6.1977,Flat 96 Grove Hall Court 189 years from ,15.03.2018  ,NGL978173  ,"NOTE: The lease was made under the provisions of section 56 or 93(4) of the Leasehold Reform, Housing and Urban Development Act 1993.",,,
1574,09.05.2018 189 years from and including 24 June 1977,Second Floor Flat 173   ,19.04.2018   ,NGL979204   ,"NOTE: The lease was made under the provisions of section 56 or 93(4) of the Leasehold Reform, Housing and Urban Development Act 1993.",,,
1575,24.05.2018 189 years from 24 June 1977,Flat 82 (Ninth Floor)  ,18.05.2018  ,NGL979583  ,"NOTE: The lease was made under the provisions of section 56 or 93(4) of the Leasehold Reform, Housing and Urban Development Act 1993",,,
1576,26.06.2018 189 years from and including 24 June 1977,Flat 119 (Sixth floor)   ,18.06.2018   ,NGL980256   ,"NOTE: The lease was made under the provisions of section 56 or 93(4) of the Leasehold Reform, Housing and Urban Development Act 1993.",,,
1577,4 Grotto Passage 2 Lease for 21 years (determinable) from 6.7.1939,20.02.1937     , Agreement for    ,     ,,,,
1578,Industrial Dwell 3 6.4.1889,ings Grotto   14.10.1895 Place , 99 years from ,  ,,,,
1579,"Industrial Dwell 4, 5 and 6 Buildings and As","ings Grotto   14.10.1895 Passage, Ossington hland Place   11.10.1886", 99 years from ,  ,,,,
1580,14 Ossington Bui 8 6.7.1951,ldings        20.11.1952  , 35 years from ,  ,,,,
1581,2 and 4 Moxon St 9 6.4.1903,reet          20.11.1905  ,105191 74 1/4 years fro , m ,,,,
1582,"16, 18 and 20 Mo 11 6.4.1909",xon Street    23.12.1909  ,144131 80 years from ,  ,,,,
1583,8 Garbutt Place 13 6.1.1881,30.12.1882  ,24826 80 years from ,  ,,,,
1584,9 Garbutt Place 14 Lease for 82 1/4 years from 6.7.1903,07.08.1903    , Agreement for   ,    ,,,,
1585,10 and 11 Garbut 15 6.4.1891,t Place       03.07.1893  , 80 years from ,  ,,,,
1586,2a Ashland Place 16 Lease for 80 years from 6.7.1930,18.02.1930    , Agreement for   ,    ,,,,
1587,24.11.2003 1 (part of) above the existi of the roof) (determinable),6 and 7 Garbutt Place (excluding the airspace ng height     25.12.2002 to 28.9.2028 ,11.09.2003 from   ,NGL827560    ,NOTE 1: Lease comprises also other land,NOTE 2: See entry in the charges register relating to the deed of variation dated 29 July 2016,,
1588,02.01.2004 1 (part of) : 17,59 and 60 Paddington Street  ,28.11.2003 From 30.3.2004 to 30.8.2028,NGL828849  ,NOTE: see entry in the charges register relating to the deed of variation dated 29 July 2016,,,
1589,22.03.2011 1 (part of) 29.09.2009,"Ground Floor and Basement, 83 Marylebone High Street. ",17.12.2010 15 years from ,NGL917049  ,NOTE: Lease comprises also other land.,,,
1590,09.03.2013 5 and 12 (part of) 07.12. 2012 to and including 06.12.2027,"Ashland House, 20 Moxon Street (ground floor and basement)   ",07.12.2012 15 years from and including   ,NGL931338     ,,,,
1591,31.08.2016 1 (part of); 17,59-60 Paddington Street  ,29.07.2016 10 years from 31.8.2028,NGL962867  ,NOTE 1: This is a reversionary lease,NOTE 2: see entry in the charges register relating to the deed of variation dated 29 July 2016,,
1592,31.08.2016 1 (part of) height of the ro excluded),6-7 Garbutt Place (The airspace above the existing of is         to 30.8.2033 ,29.07.2016 from 29.9.2028  ,NGL962868   ,NOTE 1: This is a reversionary lease,NOTE 2: see entry in the charges register relating to a deed of variation dated 29 July 2016,NOTE 3: Lease comprises also other land,
1593,22.02.2018 4 (Part of) existing height roof.) 2018 to and including 6 February 2028,6 Grotto Passage (excluding the airspace above the of the        and including 7 February   ,02.02.2018 10 years from     ,NGL977315      ,,,,
1594,31.03.2013 edged and numbered 1 in blue (part of) 22/11/2022,"Iceland Foods Limited, 258 Heathway   ",15.01.2010 35 years from 23/11/1987 and expiring on ,TGL396545    ,,,,
1595,Telephone Exchan tinted pink 24.06.1953,ge            17.02.1955  , 80 years from ,  ,NOTE: The said Lease grants a right of way over part of the land in the title,,,
1596,27.04.2010 10 years from 7.4.2010,7 St James's Place  ,07.04.2010  ,NGL910338  ,,,,
1597,27.05.2014 Edged in blue and including 19/05/2014 ending on and including 18/05/2024,Unit 1 Ravens Way      ,19.05.2014 10 years from     ,NN324102      ,,,,
1598,19.02.1992 8 8.1.1992,Sub-station on the west side of Greg Street ,08.01.1992 60 years from ,GM595170  ,NOTE 1: See Entry in the Charges Register relating to the rights granted by this Lease.,NOTE 2: The Lease contains an option to determine as therein mentioned,,
1599,06.02.2015 1 (part of) 02.02.2015 to 01.02.2015,Land on the west side of Greg Street  ,02.02.2015 from  ,MAN242380   ,,,,
1600,An Electricity S Edged and numbered 1 in blue,ub-Station    26.08.1952 Site  , 60 years from 25.3.1951 ,   ,,,,
1601,An Electricity S Edged and numbered 2 in blue,ub-Station    26.08.1952 Site  , 60 years from 25.3.1951 ,   ,,,,
1602,Parts of The Roy Edged and numbered 4 in blue (part of),al Free       13.03.1989 Hospital  ,NGL636352 99 years from 11.11.1974 ,   ,,,,
1603,Gas Governor and Edged and numbered 3 in blue,Connecting   24.02.1987 Main  ,NGL587236 60 years from 1.9.1985 ,   ,,,,
1604,24.02.1992 Edged and numbered 4 in blue (part of),The School of Nursing (Part of First and Second Floors)  ,01.04.1991 25 years from 1.4.1991 ,NGL681830   ,,,,
1605,26.06.1996 Edged and numbered 6 in blue (part of),"Part of ground floor of Anne Bryan's House, Fleet Road ",30.05.1996 30 years expiring on 29.5.2026,NGL739125   ,NOTE: The lease grants the right to park 8 motor vehicles within the parking spaces edged and numbered 1 and 2 in yellow on the filed plan,,,
1606,30.08.2002 Edged and numbered 4 in blue (part of),Part of the Second Floor of the Royal Free Hospital  ,08.05.2002 25 years from 1.4.2001 ,NGL812818   ,,,,
1607,27.02.2003 Edged and numbered 7 in blue (part of),"Part of Second Floor,The Cancerkin Centre  ",23.01.2003 99 years from 4.7.1994 ,NGL819024   ,,,,
1608,22.10.2003 Edged and numbered 8 in blue (part of),"Part of First Floor, Clinical Oncology Unit  ",30.09.2003 35 years from 1.4.2001 ,NGL826737   ,,,,
1609,30.01.2004 Edged and numbered 9 in blue,Nurses Tower   ,22.12.2003 99 years from 22.12.2003 ,NGL830022   ,,,,
1610,02.04.2008 level 15.10.2003,Equipment cubicle at roof 10 years from ,18.05.2007  ,  ,,,,
1611,23.05.2012 Edged and numbered 4 in blue (part of) 9.12.2020,The Convenience Store (Ground Floor)   ,17.05.2012 Commencing on 17.5.2012 and expiring on ,NGL926435    ,,,,
1612,13.07.2012 Edged and numbered 4 in blue (part of) 27.5.2015,Pharmacy  (Ground Floor)    ,21.05.2012 Commencing on 21.5.2012 and expiring on ,    ,,,,
1613,07.08.2012 Edged and numbered 6 in blue 1.7.2005,Anne Bryan's House    ,13.07.2012 99 years plus 1 day commencing on ,NGL928034    ,,,,
1614,07.08.2012 Edged and numbered 10 and 11 in blue,Coppetts Wood House   ,13.07.2012 99 years and 1 day commencing on 1.7.2005,NGL928035   ,,,,
1615,10.06.2013 Edged and numbered 4 in blue (part of) 30/11/2021,Cell 5359 at roof level    ,15.04.2013 From 01/12/2001 until ,NGL934859    ,NOTE 1: See entry in the charges register relating to a deed of variation dated 25 August 2015.,NOTE 2: See entry in the Charges register relating to a Deed of Variation dated 18 April 2019.,,
1616,24.12.2013 Tinted yellow 12.12.2013,Transformer Chamber (basement) ,12.12.2013 99 years from ,NGL939469  ,NOTE: See entry in the Charges Register relating to the landlord's restrictive covenants and rights granted by this lease.,,,
1617,21.09.2018 Edged and numbered 5 in blue,Electricity Substation   ,18.09.2018 99 years from 18 September 2018,NGL982162   ,NOTE: See entry in the Charges Register relating to landlords restrictive covenants and the rights granted by this lease.,,,
1618,"10.06.2002 Fourth Floors, p basement and gro and roof patio a","First, Second, Third and arts of       100 years and und floors    5 days from reas          29.9.1999",01.04.2002   ,BGL41401   ,,,,
1619,"08.05.2006 basement, 10 Hor to 28.6.2009",ground floor shop and nton Street   from 9.3.2006 ,09.03.2006  ,  ,NOTE: The grant and reservation of rights has not been completed by registration in accordance with section 27 of the Land Registration Act 2002 and so does not operate at law,,,
1620,"08.05.2006 basement, 10 Hor 24.6.2009",ground floor shop and nton Street   15 years from ,09.03.2006  ,BGL57741  ,NOTE: This is a reversionary lease,,,
1621,07.08.2013 Hornton Street and including 1 December 2012,Ground floor and basement 8 15 years from   ,12.07.2013    ,BGL98769    ,,,,
1622,01.06.2016 floor flat) including 31.05.2016 to and including 28.09.2189,"Flat 2, Evelyn House (First From and    ",31.05.2016     ,BGL124138     ,"NOTE: The lease was made under the provisions of section 56 or 93(4) of the leasehold Reform, Housing and Urban Development Act 1993.",,,
1623,15.09.2017 (second floor fl and including 15/09/2017 and ending on and including 28/09/2189,"Flat 3, Evelyn House at)           beginning on     ",06.09.2017      ,BGL135374      ,"NOTE: The lease was made under the provisions of section 56 or 93(4) of the Leasehold Reform, Housing and Urban Development Act 1993.",,,
1624,08.02.2018 (fourth floor) years beginning on and including 19/01/2018 and ending on and including 28/09/2189,"Flat 7, Evelyn House A term of       ",19.01.2018        ,BGL138968        ,"NOTE: This Lease was made under the provisions of section 56 or 93(4) of the Leasehold Reform, Housing and Urban Development 1993.",,,
1625,08.02.2018 Floor flat) and including 22 January 2018 and ending on and including 28 September 2189,Flat 8 Evelyn House (Fourth beginning on      ,22.01.2018       ,BGL138970       ,"NOTE: The lease was made under the provisions of section 56 or 93(4) of the Leasehold Reform, Housing and Urban Development Act 1993",,,
1626,31.03.2009 10 years from and including 3.3.2009,Unit 4 Browells Lane   ,03.03.2009   ,AGL200128   ,,,,
1627,03.05.2011 10 years from 29.5.2011,102 Kensington High Street  ,11.04.2011  ,BGL81487  ,,,,
1628,"11.02.2014 (basement, ground,first,sec third floors)",100 Kensington High Street from ond and       22.01.2014 to 28.05.2021,22.01.2014   ,BGL102713   ,,,,
1629,27.01.2017 Kensington High and including 10/1/2014 and ending on and including 25/12/2019,"Ground Floor Premises, 106 Street        commencing on     ",22.12.2016      ,      ,,,,
1630,Sheila Sherlock 99 years from 1.7.1994,Centre        10.09.1997  ,NGL758824  ,  ,,,,
1631,15.09.1994 edged and numbered 1 in blue,"Gas Governor lying to the South of St Albans Road, Hemel Hempstead ",27.05.1994 50 years from 5 March 1993 ,HD326257   ,NOTE: See entry in the Charges Register relating to the rights granted by this lease,,,
1632,03.02.2000 100 years from 29.9.1999,Flat 6 (third floor)  ,01.12.1999  ,BGL32510  ,,,,
1633,14.02.2000 100 years from 29.9.1999,Flat 2 (first floor)  ,10.01.2000  ,BGL32694  ,,,,
1634,17.01.2002 100 years from 29.9.1999,Flat 1 (first floor)  ,01.02.2001  ,BGL39985  ,,,,
1635,10.06.2002 100 years from 29.9.1999,Flat 4 (second floor)  ,31.03.2002  ,BGL41395  ,,,,
1636,10.06.2002 100 years from 29.9.1999,Flat 5 (third floor)  ,31.03.2002  ,BGL41396  ,,,,
1637,15.09.2017 beginning on and including 06/09/2017 and ending on and including 28/09/2189,Flat 3 (second floor)      ,06.09.2017      ,BGL135374      ,"NOTE: This lease was granted under the provisions of section 56 or 93(4) of the Leasehold Reform, Housing and Urban Development Act 1993 and the provisions of paragraph 10 of Schedule 11 to that Act apply.",,,
1638,08.03.2018 A term of years beginning on and including 19/01/2018 and ending on and including 28/09/2189,Flat 7 (fourth floor)        ,19.01.2018        ,BGL138968        ,"NOTE: This Lease was granted under the provisions of section 56 or 93(4) of the Leasehold Reform, Housing and Urban Development Act 1993 and the provisions of paragraph 10 of Schedule 11 to that Act apply.",,,
1639,08.02.2018 beginning on and including 22.1.2018 and ending on and including 28.9.2189,Flat 8 (Fourth Floor)      ,22.01.2018      ,BGL138970      ,"NOTE: This lease was granted under the provisions of section 56 or 93(4) of the Leasehold Reform, Housing and Urban Development Act 1993 and the provisions of paragraph 10 of Schedule 11 to that Act apply",,,
1640,13.05.2009 Edged and numbered 1 in brown,Site A Cobalt Business Park   ,03.04.2009 125 years less 6 days from 29.3.1996,TY480949   ,NOTE: Lease comprises also other land.,,,
1641,27.04.2011 Edged and numbered 3 in brown,DC2 Cobalt Business Park   ,01.04.2011 125 years less 6 days from 29.3.1996,TY496238   ,,,,
1642,19.07.2011 edged and numbered 5 in brown,"Plot 30, Cobalt Business Park  ",01.04.2011 125 years (less 6 days) from 29.3.1996,TY497476   ,,,,
1643,29.03.2012 edged and numbered 4 in brown,DC3 Cobalt Business Park   ,04.04.2011 as therein mentioned ,TY502005   ,NOTE: The lease comprises also other land,,,
1644,01.05.2015 Edged and nod 6 in brown from 29.3.1996,"Aston Martin, Cobalt Park Way  ",13.04.2015 125 years (less 6 days) ,TY527284   ,,,,
1645,98 Kensington Hi 99 years (less 3 days) from 14/05/1952,gh Street     29.03.1973   ,NGL224837   ,   ,NOTE: See entry in the Charges Register relating to a Deed of Variation dated 6 April 1998,,,
1646,13.08.2015 Edged and numbered 1 in blue,"Unit 3, Ravens Way, Crow Lane Industrial Estate  ",03.08.2015 10 years from 22.11.2015 ,NN333621   ,NOTE: The lease comprises also other land,,,
1647,25.11.2008 floor) 24.06.2011 ending on 23.06.2016,Lift lobby area (sixth From   ,16.09.2008    ,BGL69773    ,,,,
1648,17.01.2005 (basement) 01.07.1978 to 30.09.2024,Electricity substation From  ,18.04.1983   ,BGL52176   ,,,,
1649,"13.10.1993 second floors an third, fourth fi roof 113 to 121","Basement, ground, first and d part of     97 years from fth and       01.04.1979 (odd)",30.03.1979   ,NGL349011   ,NOTE: See entries in the Charges Register relating to Deeds of Variation dated 17 May 2001 and 20 April 2010.,,,
1650,"08.08.2011 Premises, 99-121 High Street and including 31.8.2007",Third and Fourth Floor Kensington   15 years beginning on  ,08.11.2007    ,BGL83111    ,"NOTE 1: This lease grants the exclusive use of the car parking spaces edged and numbered 1, 2 and 3 in blue on the title plan and certain ducts.",NOTE 2: See entry in the Charges Register relating to a Deed of Variation dated 22 August 2017,,
1651,18.07.2012 of) beginning on and including 25 March 2012,Fifth and sixth floor (part 25 years   ,19.06.2012    ,BGL90971    ,NOTE: See entry in the Charges Register relating to a Deed of Variation dated 28 February 2017,,,
1652,29.01.2014 10 years from 24/12/2013,part of Fifth Floor  ,24.12.2013  ,BGL102454  ,NOTE: This lease grants the exclusive use of the car parking spaces edged and numbered 4 in blue on the title plan.,,,
1653,20.01.2017 Edged and numbered 5 in blue (part of),"Unit 2 Basement, Ground, First and Second Floors, 99-121 Kensington High Street",03.04.2001 20 years from 24.6.2000 ,   ,NOTE 1: Copy  lease filed.,"NOTE 2: The lease dated 3 April 2001 referred to above has been determined as to part of the first floor as mentioned in the Deed of the ""First Space"" dated 20 December 2016 referred to in the Charges Register.","NOTE 3: The lease dated 3 April 2001 referred to above has been determined as to part of the second floor as mentioned in the Deed of the ""Second Space"" dated 20 December 2016 referred to in the Charges Register.","NOTE 4: The lease dated 3 April 2001 referred to above has been determined as to part of the second floor as mentioned in the Deed of the ""Third Space"" dated 30 April 2017 referred to in the Charges Register."
1654,20.01.2017 Kensington High 17.11.2016 to 23.6.2020,"Part First Floor, 99-121 Street        From  ",20.12.2016   ,   ,NOTE: Copy filed,,,
1655,06.03.2017 Edged and numbered 5 in blue (part of) 24.3.2037,Window Spaces (Ground floor)   ,28.02.2017 Beginning on 6.3.2017 ending on ,BGL130766    ,,,,
1656,28.04.2017 edged and numbered 5 in blue (part of),"Unit 1, Basement, Ground and First Floors, 99-121 Kensington High Street ",31.03.2017 10 years from 31/03/2017 to 30/03/2027,BGL132155   ,,,,
1657,11.11.2008 Way (less 5 days) from 21.3.2007,"Part of Block W04, Empire 275 years  ",30.09.2008   ,AGL194694   ,,,,
1658,11.11.2008 Way (less 5 days) from 21.3.2007,"Part of Block W04, Empire 275 years  ",22.10.2008   ,AGL194695   ,NOTE: By a Deed dated 1 December 2009 made between (1) Quintain Investments (04) Limited and (2) Paddington Churches Housing Association Limited the terms of the Lease dated 22 October 2008 referred to above were rectified.,NOTE:  Copy Deed filed under AGL194695.,,
1659,ITEM CANCELLED o,n 11 October 2016.,,,,,,
1660,13.12.2011 Edged and numbered 1 in brown (part of) 7.3.2282,Car Parking Space 95 Quadrant Court    ,01.12.2011 From and including 21.3.2007 to and including ,AGL245952     ,,,,
1661,13.12.2011 Quadrant Court including 21.3.2007 to and including 7.3.2282,Car parking Space 34 From and    ,30.11.2011     ,AGL245953     ,,,,
1662,08.02.2012 Edged and Numbered 1 in brown (part of) 07.03.2282,Car Park Space 38 Quadrant Court    ,22.12.2011 From and including 21.03.2007 to and including ,AGL249713     ,,,,
